analysis_set,template,condition,n,exact_accuracy,exact_accuracy_ci95_low,exact_accuracy_ci95_high,entity_containing_accuracy,entity_containing_accuracy_ci95_low,entity_containing_accuracy_ci95_high,first_token_accuracy,first_token_accuracy_ci95_low,first_token_accuracy_ci95_high,mean_expected_entity_log_probability,mean_expected_entity_log_probability_ci95_low,mean_expected_entity_log_probability_ci95_high,mean_expected_vs_alternative_logit_margin,mean_expected_vs_alternative_logit_margin_ci95_low,mean_expected_vs_alternative_logit_margin_ci95_high
unseen_confirmatory,direct_fact,sparse_union,86,0.5116279069767442,0.4077672083537732,0.6144942289186514,0.5116279069767442,0.4077672083537732,0.6144942289186514,1.0,0.9572418027142576,0.9999999999999999,-0.1331826550236275,-0.14804590530308703,-0.11831940474416795,3.4244186046511627,3.3087791422091013,3.540058067093224
unseen_confirmatory,direct_fact,late_negative_30_32,86,0.4883720930232558,0.38550577108134854,0.5922327916462268,0.5116279069767442,0.4077672083537732,0.6144942289186514,0.9883720930232558,0.9370359341070826,0.9979444313347503,-0.28858289287187333,-0.33576519745990996,-0.2414005882838367,2.7732558139534884,2.5675233861219464,2.9789882417850304
unseen_confirmatory,person_in_list,clean,86,1.0,0.9572418027142576,0.9999999999999999,1.0,0.9572418027142576,0.9999999999999999,1.0,0.9572418027142576,0.9999999999999999,-0.1319046702105985,-0.17226233261604873,-0.0915470078051483,4.013081395348837,3.8229518680821206,4.203210922615553
unseen_confirmatory,person_in_list,generated_read_block,86,0.7790697674418605,0.6805235720815125,0.853750922456678,0.7790697674418605,0.6805235720815125,0.853750922456678,1.0,0.9572418027142576,0.9999999999999999,-0.1319046702105985,-0.17226233261604873,-0.0915470078051483,4.013081395348837,3.8229518680821206,4.203210922615553
unseen_confirmatory,person_in_list,full_intermediate_bottleneck,86,0.43023255813953487,0.3307934101645158,0.5356379662009366,0.43023255813953487,0.3307934101645158,0.5356379662009366,0.8953488372093024,0.8129297644077995,0.943959102854637,-0.9728044515778852,-1.1370114460288672,-0.8085974571269032,1.2877906976744187,1.0339398600294918,1.5416415353193456
unseen_confirmatory,person_in_list,early_5_7,86,0.45348837209302323,0.3525159468245965,0.558438304085705,0.45348837209302323,0.3525159468245965,0.558438304085705,0.9302325581395349,0.8560385935896314,0.9676345854900786,-0.7571509444089823,-0.9010649269905264,-0.6132369618274383,1.7209302325581395,1.4727821025571377,1.9690783625591413
unseen_confirmatory,person_in_list,middle_12_14,86,0.5232558139534884,0.41897826794012305,0.6255446066047263,0.5232558139534884,0.41897826794012305,0.6255446066047263,0.9302325581395349,0.8560385935896314,0.9676345854900786,-0.7257547579532446,-0.8624588947957481,-0.5890506211107411,1.9084302325581395,1.6586952496602605,2.1581652154560187
unseen_confirmatory,person_in_list,later_middle_19_21,86,0.4883720930232558,0.38550577108134854,0.5922327916462268,0.4883720930232558,0.38550577108134854,0.5922327916462268,0.9418604651162791,0.8710215519732145,0.9749130643789203,-0.5084543279263862,-0.6293617198099184,-0.38754693604285406,2.5552325581395348,2.304343734246733,2.8061213820323365
unseen_confirmatory,person_in_list,sparse_union,86,0.6627906976744186,0.557825607589722,0.7538345142242223,0.6627906976744186,0.557825607589722,0.7538345142242223,0.9883720930232558,0.9370359341070826,0.9979444313347503,-0.2566776509981516,-0.33534649453770243,-0.17800880745860076,3.6555232558139537,3.4213823108346078,3.8896642007932996
unseen_confirmatory,person_in_list,late_negative_30_32,86,0.4418604651162791,0.3416273835893346,0.5470654300485425,0.4418604651162791,0.3416273835893346,0.5470654300485425,0.8953488372093024,0.8129297644077995,0.943959102854637,-0.9249249149200528,-1.0852390006254882,-0.7646108292146174,1.364825581395349,1.1139498773519518,1.615701285438746
unseen_confirmatory,friend,clean,86,0.9883720930232558,0.9370359341070826,0.9979444313347503,1.0,0.9572418027142576,0.9999999999999999,0.9883720930232558,0.9370359341070826,0.9979444313347503,-0.18774165386377378,-0.2205536485740503,-0.15492965915349727,3.63953488372093,3.4069697432695225,3.8721000241723376
