analysis_set,template,contrast_kind,baseline_condition,candidate_condition,n,semantic_rescued,semantic_harmed,semantic_unchanged_correct,semantic_unchanged_incorrect,baseline_semantic_failures,conditional_semantic_rescue_fraction,conditional_semantic_rescue_ci95_low,conditional_semantic_rescue_ci95_high,semantic_mcnemar_exact_p,exact_rescued,exact_harmed,exact_unchanged_correct,exact_unchanged_incorrect,baseline_exact_failures,conditional_exact_rescue_fraction,conditional_exact_rescue_ci95_low,conditional_exact_rescue_ci95_high,exact_mcnemar_exact_p,mean_paired_expected_log_probability_change,paired_expected_log_probability_change_ci95_low,paired_expected_log_probability_change_ci95_high,mean_paired_logit_margin_change,paired_logit_margin_change_ci95_low,paired_logit_margin_change_ci95_high,prespecified_primary,prespecified_late_control_comparison,semantic_holm_adjusted_p,exact_holm_adjusted_p
unseen_confirmatory,visitor_register,versus_full_bottleneck,full_intermediate_bottleneck,late_negative_30_32,86,2,3,43,38,40,0.05,0.013820667386148344,0.16503877369140962,1.0,2,3,43,38,40,0.05,0.013820667386148344,0.16503877369140962,1.0,0.01568807150388873,0.008135019912446284,0.023241123095331176,0.03343023255813953,0.005723461654740861,0.061137003461538206,False,False,1.0,1.0
unseen_confirmatory,visitor_register,versus_late_negative,late_negative_30_32,early_5_7,86,2,1,44,39,41,0.04878048780487805,0.013480945365169042,0.16138978870370846,1.0,2,1,44,39,41,0.04878048780487805,0.013480945365169042,0.16138978870370846,1.0,0.029430525247440782,0.021080754699595118,0.037780295795286446,0.125,0.08287539179927116,0.16712460820072883,False,True,1.0,1.0
unseen_confirmatory,visitor_register,versus_late_negative,late_negative_30_32,middle_12_14,86,2,1,44,39,41,0.04878048780487805,0.013480945365169042,0.16138978870370846,1.0,2,1,44,39,41,0.04878048780487805,0.013480945365169042,0.16138978870370846,1.0,0.038129187687191854,0.027664007045662485,0.04859436832872122,0.1933139534883721,0.14741534491896885,0.23921256205777536,False,True,1.0,1.0
unseen_confirmatory,visitor_register,versus_late_negative,late_negative_30_32,later_middle_19_21,86,2,1,44,39,41,0.04878048780487805,0.013480945365169042,0.16138978870370846,1.0,2,1,44,39,41,0.04878048780487805,0.013480945365169042,0.16138978870370846,1.0,0.07478762405036493,0.06400558307380595,0.08556966502692391,0.373546511627907,0.33295543375452236,0.4141375895012916,False,True,1.0,1.0
unseen_confirmatory,visitor_register,versus_late_negative,late_negative_30_32,sparse_union,86,3,2,43,38,41,0.07317073170731707,0.02519783063390993,0.19427448537719041,1.0,3,2,43,38,41,0.07317073170731707,0.02519783063390993,0.19427448537719041,1.0,0.13410878592972145,0.11645120852122881,0.15176636333821408,0.6656976744186046,0.6073510027835672,0.724044346053642,False,True,1.0,1.0
unseen_confirmatory,dialogue,versus_full_bottleneck,full_intermediate_bottleneck,early_5_7,86,4,0,21,61,65,0.06153846153846154,0.024189054966350286,0.1478215186552319,0.125,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,0.27886810933434686,0.25203881665781136,0.30569740201088236,0.3226744186046512,0.2814695180225314,0.36387931918677097,False,False,0.328125,1.0
unseen_confirmatory,dialogue,versus_full_bottleneck,full_intermediate_bottleneck,middle_12_14,86,5,0,21,60,65,0.07692307692307693,0.03330350149516352,0.1677593327011,0.0625,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,0.24365353445674098,0.20776780731773892,0.27953926159574305,0.28343023255813954,0.2331783874624655,0.3336820776538136,False,False,0.25,1.0
unseen_confirmatory,dialogue,versus_full_bottleneck,full_intermediate_bottleneck,later_middle_19_21,86,8,2,19,57,65,0.12307692307692308,0.06370467509869226,0.22451494082161527,0.109375,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,0.5151693976895754,0.47100279505136694,0.5593360003277839,0.690406976744186,0.6258342183367354,0.7549797351516367,False,False,0.328125,1.0
unseen_confirmatory,dialogue,versus_full_bottleneck,full_intermediate_bottleneck,sparse_union,86,22,2,19,43,65,0.3384615384615385,0.2353350331209667,0.45961623084487946,3.5881996154785156e-05,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,1.1588918617818245,1.0794804265165518,1.238303297047097,1.754360465116279,1.646027410492937,1.8626935197396208,True,False,,
unseen_confirmatory,dialogue,versus_full_bottleneck,full_intermediate_bottleneck,late_negative_30_32,86,2,0,21,63,65,0.03076923076923077,0.008478997236440126,0.10542705523577942,0.5,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,0.04023948727652084,0.027455991150806543,0.05302298340223513,0.06540697674418605,0.0453825404596388,0.0854314130287333,False,False,0.5,1.0
unseen_confirmatory,dialogue,versus_late_negative,late_negative_30_32,early_5_7,86,3,1,22,60,63,0.047619047619047616,0.0163261688679956,0.13090967837906073,0.625,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,0.238628622057826,0.2109250853141965,0.26633215880145555,0.25726744186046513,0.2142781932074074,0.3002566905135229,False,True,0.75,1.0
unseen_confirmatory,dialogue,versus_late_negative,late_negative_30_32,middle_12_14,86,3,0,23,60,63,0.047619047619047616,0.0163261688679956,0.13090967837906073,0.25,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,0.20341404718022013,0.1658250683114463,0.24100302604899396,0.2180232558139535,0.16615594596468666,0.2698905656632203,False,True,0.75,1.0
unseen_confirmatory,dialogue,versus_late_negative,late_negative_30_32,later_middle_19_21,86,6,2,21,57,63,0.09523809523809523,0.04438348427689201,0.19261701062836892,0.2890625,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,0.47492991041305455,0.429902268118835,0.5199575527072741,0.625,0.5596114833247113,0.6903885166752887,False,True,0.75,1.0
unseen_confirmatory,dialogue,versus_late_negative,late_negative_30_32,sparse_union,86,20,2,21,43,63,0.31746031746031744,0.21586686653519657,0.4400353174416858,0.00012111663818359375,0,0,0,86,86,0.0,0.0,0.042758197285742226,1.0,1.1186523745053036,1.0378867558688842,1.199417993141723,1.688953488372093,1.5748243985711705,1.8030825781730153,False,True,0.000484466552734375,1.0
