analysis_set,template,condition,layer,mean_final_token_entity_attention,mean_final_token_entity_contribution_norm
all_100,direct_fact,late_negative_30_32,15,0.0026979851309442892,0.22134578913450242
all_100,direct_fact,late_negative_30_32,16,0.0037811033742036673,0.21992928020656108
all_100,direct_fact,late_negative_30_32,17,0.007336263379547745,0.4636395420879126
all_100,direct_fact,late_negative_30_32,18,0.018419635477475823,1.7112408417463303
all_100,direct_fact,late_negative_30_32,19,0.02148805825971067,1.858574879169464
all_100,direct_fact,late_negative_30_32,20,0.054683958142995835,4.476533796787262
all_100,direct_fact,late_negative_30_32,21,0.1653385881334543,18.75150842666626
all_100,direct_fact,late_negative_30_32,22,0.05319246143102646,5.924011964797973
all_100,direct_fact,late_negative_30_32,23,0.15016494080424309,28.07219440460205
all_100,direct_fact,late_negative_30_32,24,0.16483690664172174,38.94150718688965
all_100,direct_fact,late_negative_30_32,25,0.03021276814863086,16.157596168518065
all_100,direct_fact,late_negative_30_32,26,0.06493379944935442,22.917703704833983
all_100,direct_fact,late_negative_30_32,27,0.05801212709397077,20.94990472793579
all_100,direct_fact,late_negative_30_32,28,0.08458420053124428,46.804148273468016
all_100,direct_fact,late_negative_30_32,29,0.08654293626546859,56.75476860046387
all_100,direct_fact,late_negative_30_32,30,0.045897245295345786,45.6120396232605
all_100,direct_fact,late_negative_30_32,31,0.08723676003515721,86.37590900421142
all_100,direct_fact,late_negative_30_32,32,0.05126104336231947,98.52388973236084
all_100,direct_fact,late_negative_30_32,33,0.0825594274327159,115.46452583312988
all_100,direct_fact,late_negative_30_32,34,0.05735164122655988,98.57914226531983
all_100,direct_fact,late_negative_30_32,35,0.024954756367951633,15.289788765907288
all_100,person_in_list,clean,0,0.008956682009156794,0.13502970781177281
all_100,person_in_list,clean,1,0.006393985082395375,0.09180259730666876
all_100,person_in_list,clean,2,0.013223528955131769,0.18773273222148418
all_100,person_in_list,clean,3,0.015367405088618398,0.5970335471630096
all_100,person_in_list,clean,4,0.005227882394101471,0.13339766524732113
all_100,person_in_list,clean,5,0.0036890820472035555,0.13170261029154062
all_100,person_in_list,clean,6,0.0039811277121771125,0.10602972479537129
all_100,person_in_list,clean,7,0.0007928054733201862,0.06031063336879015
all_100,person_in_list,clean,8,0.00329190994030796,0.3976545539498329
all_100,person_in_list,clean,9,0.0032378011901164428,0.3633367828279734
all_100,person_in_list,clean,10,0.003927290721330792,0.7107420189678669
all_100,person_in_list,clean,11,0.0015702899644384162,0.11566170498728752
all_100,person_in_list,clean,12,0.001728687371360138,0.08991064473986626
all_100,person_in_list,clean,13,0.0016175802663201467,0.09946240980178117
all_100,person_in_list,clean,14,0.0039028656552545725,0.2758276418596506
all_100,person_in_list,clean,15,0.0017924535006750375,0.12554114684462547
all_100,person_in_list,clean,16,0.003279108195565641,0.5798810970783234
all_100,person_in_list,clean,17,0.005457403312902898,0.4346179124712944
all_100,person_in_list,clean,18,0.007916651631239802,0.9079475672543049
all_100,person_in_list,clean,19,0.011092336126603186,1.1807716125249863
all_100,person_in_list,clean,20,0.01568782693706453,1.3464059716463088
all_100,person_in_list,clean,21,0.05654491836205125,7.2974652373790745
all_100,person_in_list,clean,22,0.017052924036979677,2.0813823318481446
all_100,person_in_list,clean,23,0.06657724717631935,16.37454930782318
all_100,person_in_list,clean,24,0.10861846908926964,34.900572843551636
all_100,person_in_list,clean,25,0.032546500023454425,26.816722049713135
all_100,person_in_list,clean,26,0.03900265783071518,13.384513506889343
all_100,person_in_list,clean,27,0.03835875760298222,16.933335399627687
all_100,person_in_list,clean,28,0.06609022956341505,42.75798984527588
all_100,person_in_list,clean,29,0.07087670627981424,56.8251876449585
all_100,person_in_list,clean,30,0.03407235162332654,38.30479096412659
all_100,person_in_list,clean,31,0.08336458999663592,90.0099882888794
all_100,person_in_list,clean,32,0.047048511849716305,109.02056652069092
all_100,person_in_list,clean,33,0.07824220925569535,121.21030731201172
all_100,person_in_list,clean,34,0.03911128140985966,89.40975078582764
all_100,person_in_list,clean,35,0.01050377756357193,6.199660716056823
all_100,person_in_list,full_intermediate_bottleneck,0,0.008956682009156794,0.13502970781177281
all_100,person_in_list,full_intermediate_bottleneck,1,0.0064328326587565245,0.09266527093946934
all_100,person_in_list,full_intermediate_bottleneck,2,0.013049631342291833,0.182815069667995
all_100,person_in_list,full_intermediate_bottleneck,3,0.01632755534723401,0.6445919851958751
all_100,person_in_list,full_intermediate_bottleneck,4,0.005812804992310703,0.15412997737526893
all_100,person_in_list,full_intermediate_bottleneck,5,0.0039482571836560966,0.14154999893158673
all_100,person_in_list,full_intermediate_bottleneck,6,0.0041679325001314285,0.11867188425734639
all_100,person_in_list,full_intermediate_bottleneck,7,0.0009652132997871376,0.07565090748481453
all_100,person_in_list,full_intermediate_bottleneck,8,0.0038847807690035553,0.46281964585185054
all_100,person_in_list,full_intermediate_bottleneck,9,0.004145120974862948,0.47930109657347203
all_100,person_in_list,full_intermediate_bottleneck,10,0.00457485051243566,0.8280421179533005
all_100,person_in_list,full_intermediate_bottleneck,11,0.0018179189856164157,0.1350649970769882
all_100,person_in_list,full_intermediate_bottleneck,12,0.002049302848172374,0.10702538527548314
all_100,person_in_list,full_intermediate_bottleneck,13,0.001822101641446352,0.11609692987054586
all_100,person_in_list,full_intermediate_bottleneck,14,0.004461869043298066,0.3206879175454378
all_100,person_in_list,full_intermediate_bottleneck,15,0.0019782375311478972,0.12884357068687677
all_100,person_in_list,full_intermediate_bottleneck,16,0.004015644828323275,0.69957982391119
all_100,person_in_list,full_intermediate_bottleneck,17,0.007891919903922826,0.6869406579434871
all_100,person_in_list,full_intermediate_bottleneck,18,0.009749491033144295,1.1053449422121049
all_100,person_in_list,full_intermediate_bottleneck,19,0.012867353642359376,1.423661381304264
all_100,person_in_list,full_intermediate_bottleneck,20,0.01704217832069844,1.5347582548856735
all_100,person_in_list,full_intermediate_bottleneck,21,0.04781531418673694,6.145310868024826
all_100,person_in_list,full_intermediate_bottleneck,22,0.016267127012833952,2.1398078483343124
all_100,person_in_list,full_intermediate_bottleneck,23,0.027449130304157732,5.345635145902634
all_100,person_in_list,full_intermediate_bottleneck,24,0.046774316057562826,10.802721507549286
all_100,person_in_list,full_intermediate_bottleneck,25,0.020542733781039716,8.377151508331298
all_100,person_in_list,full_intermediate_bottleneck,26,0.04041681100614369,14.733386068344116
all_100,person_in_list,full_intermediate_bottleneck,27,0.03277482376433909,15.55082777619362
all_100,person_in_list,full_intermediate_bottleneck,28,0.028163996702060105,13.58077916622162
all_100,person_in_list,full_intermediate_bottleneck,29,0.05258563134819269,36.05189161300659
all_100,person_in_list,full_intermediate_bottleneck,30,0.029182641748338938,32.380520515441894
all_100,person_in_list,full_intermediate_bottleneck,31,0.060745547842234376,60.4954225730896
all_100,person_in_list,full_intermediate_bottleneck,32,0.03922391898930073,84.07596670150757
all_100,person_in_list,full_intermediate_bottleneck,33,0.062012194767594335,89.69245220184327
all_100,person_in_list,full_intermediate_bottleneck,34,0.03553388549014926,78.26253189086914
all_100,person_in_list,full_intermediate_bottleneck,35,0.01292281661182642,7.127184708118438
all_100,person_in_list,early_5_7,0,0.008956682009156794,0.13502970781177281
all_100,person_in_list,early_5_7,1,0.0064328326587565245,0.09266527093946934
all_100,person_in_list,early_5_7,2,0.013049631342291833,0.182815069667995
all_100,person_in_list,early_5_7,3,0.01632755534723401,0.6445919851958751
all_100,person_in_list,early_5_7,4,0.005812804992310703,0.15412997737526893
all_100,person_in_list,early_5_7,5,0.0039482571836560966,0.14154999893158673
all_100,person_in_list,early_5_7,6,0.004190969642950222,0.11931847453117371
all_100,person_in_list,early_5_7,7,0.0009588323289062828,0.0746780906431377
all_100,person_in_list,early_5_7,8,0.0038330923684407026,0.45714200273156164
all_100,person_in_list,early_5_7,9,0.0040133751882240176,0.46310236550867556
all_100,person_in_list,early_5_7,10,0.0044603904988616706,0.8065141573548317
all_100,person_in_list,early_5_7,11,0.0017513281846186146,0.12930255554616452
all_100,person_in_list,early_5_7,12,0.001981007011490874,0.10324072018265724
all_100,person_in_list,early_5_7,13,0.0017891938332468271,0.11424308218061924
all_100,person_in_list,early_5_7,14,0.004402811460895464,0.3141434618085623
all_100,person_in_list,early_5_7,15,0.0019841655052732676,0.12893592718988656
all_100,person_in_list,early_5_7,16,0.00394814679864794,0.6867361387610436
all_100,person_in_list,early_5_7,17,0.007575465617701411,0.6552207536995411
all_100,person_in_list,early_5_7,18,0.009716201850678771,1.1129691891372204
all_100,person_in_list,early_5_7,19,0.012841531662270428,1.4008840045332909
all_100,person_in_list,early_5_7,20,0.016556745544075966,1.4614848959445954
all_100,person_in_list,early_5_7,21,0.05259864202700555,6.673492811918258
all_100,person_in_list,early_5_7,22,0.016932677649892865,2.2628789710998536
all_100,person_in_list,early_5_7,23,0.032793697416782376,6.637711791992188
all_100,person_in_list,early_5_7,24,0.05483829770237207,12.368840169906616
all_100,person_in_list,early_5_7,25,0.023702124338597058,9.816979978084564
all_100,person_in_list,early_5_7,26,0.04590232750400901,17.31169445037842
all_100,person_in_list,early_5_7,27,0.03766607629600913,18.38911610841751
all_100,person_in_list,early_5_7,28,0.03449442315846682,17.473048033714296
all_100,person_in_list,early_5_7,29,0.058512873984873294,40.35432373046875
all_100,person_in_list,early_5_7,30,0.031084078662097454,33.804895076751706
all_100,person_in_list,early_5_7,31,0.06545737706124782,64.80980197906494
all_100,person_in_list,early_5_7,32,0.041686443965882065,87.78117923736572
all_100,person_in_list,early_5_7,33,0.06632621064782143,93.83031578063965
all_100,person_in_list,early_5_7,34,0.03701414842158556,79.1482809638977
all_100,person_in_list,early_5_7,35,0.013226130241528154,7.278900628089905
all_100,person_in_list,middle_12_14,0,0.008956682009156794,0.13502970781177281
all_100,person_in_list,middle_12_14,1,0.0064328326587565245,0.09266527093946934
all_100,person_in_list,middle_12_14,2,0.013049631342291833,0.182815069667995
all_100,person_in_list,middle_12_14,3,0.01632755534723401,0.6445919851958751
all_100,person_in_list,middle_12_14,4,0.005812804992310703,0.15412997737526893
all_100,person_in_list,middle_12_14,5,0.0039482571836560966,0.14154999893158673
all_100,person_in_list,middle_12_14,6,0.0041679325001314285,0.11867188425734639
all_100,person_in_list,middle_12_14,7,0.0009652132997871376,0.07565090748481453
all_100,person_in_list,middle_12_14,8,0.0038847807690035553,0.46281964585185054
all_100,person_in_list,middle_12_14,9,0.004145120974862948,0.47930109657347203
all_100,person_in_list,middle_12_14,10,0.00457485051243566,0.8280421179533005
